Order Date,Customer ID,Product,Unit Price,Quantity,Coupon Code,City
05/25/2023,CUST1000,Keyboard,533.07,4,,Calgary
11/21/2023,CUST1001,Monitor,1429.51,5,SAVE20,Vancouver
06/28/2023,CUST1002,Smartphone,1139.69,4,N/A,Montreal
01/16/2023,CUST1003,Headphones,1063.77,1,SAVE20,Calgary
03/14/2023,CUST1004,Smartphone,1363.86,2,N/A,Ottawa
08/07/2023,CUST1005,Keyboard,594.97,3,SAVE10,Vancouver
11/18/2023,CUST1006,Monitor,154.06,5,N/A,Calgary
06/14/2023,CUST1007,Keyboard,415.09,2,,Montreal
02/12/2023,CUST1008,Monitor,995.17,4,SAVE10,Toronto
11/17/2023,CUST1009,Headphones,137.6,3,,Vancouver
05/28/2023,CUST1010,Keyboard,586.26,4,N/A,Montreal
08/10/2023,CUST1011,Smartphone,486.31,3,SAVE20,Toronto
04/07/2023,CUST1012,Keyboard,1282.73,5,,Toronto
10/12/2023,CUST1013,Headphones,1004.74,5,N/A,Toronto
11/28/2023,CUST1014,Monitor,553.16,5,N/A,Toronto
01/07/2023,CUST1015,Keyboard,618.82,2,SAVE10,Ottawa
04/17/2023,CUST1016,Keyboard,749.87,2,,Calgary
09/29/2023,CUST1017,Smartphone,516.53,5,N/A,Vancouver
11/08/2023,CUST1018,Laptop,343.07,1,N/A,Vancouver
07/04/2023,CUST1019,Smartphone,916.84,3,,Montreal
02/08/2023,CUST1020,Monitor,441.99,1,,Montreal
03/25/2023,CUST1021,Smartphone,572.3,1,N/A,Toronto
01/31/2023,CUST1022,Keyboard,1428.96,1,SAVE10,Montreal
11/20/2023,CUST1023,Keyboard,210.31,4,,Calgary
05/30/2023,CUST1024,Keyboard,888.35,1,,Montreal
02/11/2023,CUST1025,Headphones,1162.96,1,N/A,Vancouver
05/18/2023,CUST1026,Monitor,528.2,1,SAVE10,Ottawa
06/12/2023,CUST1027,Keyboard,1417.91,4,,Toronto
09/04/2023,CUST1028,Keyboard,1276.48,2,N/A,Toronto
01/15/2023,CUST1029,Headphones,481.74,2,SAVE10,Calgary
05/22/2023,CUST1030,Keyboard,651.56,4,N/A,Calgary
12/26/2023,CUST1031,Keyboard,1102.41,2,,Calgary
05/28/2023,CUST1032,Keyboard,1329.28,5,SAVE10,Calgary
06/19/2023,CUST1033,Monitor,1088.1,2,,Montreal
07/02/2023,CUST1034,Smartphone,498.33,1,N/A,Toronto
03/24/2023,CUST1035,Laptop,878.43,1,N/A,Calgary
04/05/2023,CUST1036,Monitor,1116.13,5,N/A,Ottawa
10/28/2023,CUST1037,Smartphone,1334.22,2,,Toronto
11/21/2023,CUST1038,Headphones,1195.32,2,SAVE20,Ottawa
04/23/2023,CUST1039,Headphones,1295.53,4,,Vancouver
09/14/2023,CUST1040,Laptop,962.72,4,,Toronto
12/08/2023,CUST1041,Laptop,220.75,3,SAVE20,Calgary
01/14/2023,CUST1042,Keyboard,544.61,3,SAVE10,Toronto
02/28/2023,CUST1043,Monitor,668.75,5,,Calgary
12/29/2023,CUST1044,Monitor,447.2,2,N/A,Calgary
01/10/2023,CUST1045,Laptop,239.97,5,N/A,Calgary
05/15/2023,CUST1046,Headphones,83.86,3,SAVE20,Montreal
09/21/2023,CUST1047,Keyboard,918.72,2,,Ottawa
09/06/2023,CUST1048,Keyboard,744.64,3,SAVE10,Vancouver
04/19/2023,CUST1049,Headphones,1442.63,1,N/A,Toronto
02/09/2023,CUST1050,Headphones,1323.24,3,SAVE10,Calgary
06/09/2023,CUST1051,Laptop,673.29,1,,Toronto
05/29/2023,CUST1052,Laptop,1468.08,1,,Vancouver
01/23/2023,CUST1053,Laptop,180.9,4,SAVE20,Ottawa
06/07/2023,CUST1054,Smartphone,308.0,4,N/A,Vancouver
09/04/2023,CUST1055,Laptop,917.07,1,,Calgary
05/18/2023,CUST1056,Monitor,1230.81,3,,Ottawa
01/07/2023,CUST1057,Laptop,1359.54,4,,Calgary
06/19/2023,CUST1058,Keyboard,1386.84,2,,Montreal
08/11/2023,CUST1059,Laptop,527.12,5,SAVE10,Toronto
04/14/2023,CUST1060,Headphones,633.1,1,SAVE20,Ottawa
10/25/2023,CUST1061,Laptop,1383.24,1,,Vancouver
06/21/2023,CUST1062,Laptop,783.4,3,,Toronto
06/14/2023,CUST1063,Smartphone,998.85,1,,Ottawa
01/01/2023,CUST1064,Keyboard,1495.98,4,,Montreal
12/25/2023,CUST1065,Headphones,250.73,4,,Calgary
04/29/2023,CUST1066,Headphones,991.68,4,,Vancouver
04/12/2023,CUST1067,Keyboard,1093.24,1,SAVE20,Calgary
02/07/2023,CUST1068,Laptop,1337.98,4,SAVE20,Vancouver
07/30/2023,CUST1069,Keyboard,286.54,5,SAVE10,Montreal
05/21/2023,CUST1070,Keyboard,1213.28,3,N/A,Toronto
11/03/2023,CUST1071,Laptop,387.9,5,,Toronto
03/23/2023,CUST1072,Smartphone,672.3,2,SAVE20,Toronto
02/10/2023,CUST1073,Keyboard,266.85,2,,Toronto
02/18/2023,CUST1074,Monitor,905.04,5,N/A,Vancouver
01/21/2023,CUST1075,Headphones,1318.16,4,SAVE10,Ottawa
04/18/2023,CUST1076,Smartphone,857.21,1,SAVE20,Ottawa
11/23/2023,CUST1077,Smartphone,1467.99,1,SAVE20,Montreal
01/05/2023,CUST1078,Laptop,1026.34,1,,Calgary
06/03/2023,CUST1079,Headphones,167.52,4,,Vancouver
12/27/2023,CUST1080,Keyboard,876.91,5,,Vancouver
11/12/2023,CUST1081,Monitor,224.3,2,SAVE20,Vancouver
06/14/2023,CUST1082,Headphones,1400.93,1,N/A,Vancouver
10/14/2023,CUST1083,Smartphone,870.41,1,,Montreal
07/10/2023,CUST1084,Laptop,1394.58,3,SAVE10,Calgary
10/01/2023,CUST1085,Laptop,1234.67,5,,Ottawa
03/27/2023,CUST1086,Keyboard,1131.04,4,,Ottawa
07/28/2023,CUST1087,Monitor,227.33,4,N/A,Toronto
12/05/2023,CUST1088,Laptop,692.02,3,SAVE10,Montreal
08/18/2023,CUST1089,Headphones,1312.88,4,,Ottawa
01/24/2023,CUST1090,Headphones,1273.89,2,N/A,Calgary
10/11/2023,CUST1091,Keyboard,106.08,1,N/A,Vancouver
09/09/2023,CUST1092,Smartphone,1274.77,5,,Calgary
08/05/2023,CUST1093,Headphones,516.24,2,SAVE10,Ottawa
10/16/2023,CUST1094,Smartphone,1429.15,3,,Calgary
07/06/2023,CUST1095,Headphones,1312.56,1,,Toronto
08/01/2023,CUST1096,Laptop,927.66,5,,Montreal
02/23/2023,CUST1097,Keyboard,514.74,4,SAVE10,Vancouver
08/21/2023,CUST1098,Laptop,1400.56,4,SAVE20,Calgary
04/25/2023,CUST1099,Monitor,526.43,3,,Vancouver
10/10/2023,CUST1100,Laptop,502.99,4,,Toronto
10/26/2023,CUST1101,Keyboard,1264.7,3,N/A,Vancouver
10/19/2023,CUST1102,Keyboard,715.69,5,N/A,Toronto
04/15/2023,CUST1103,Keyboard,443.18,2,SAVE10,Ottawa
11/28/2023,CUST1104,Smartphone,1107.28,4,SAVE20,Calgary
08/12/2023,CUST1105,Monitor,474.57,2,SAVE10,Calgary
10/11/2023,CUST1106,Laptop,152.33,1,,Toronto
11/23/2023,CUST1107,Smartphone,1198.88,2,N/A,Vancouver
01/20/2023,CUST1108,Headphones,592.52,5,SAVE20,Montreal
08/22/2023,CUST1109,Monitor,534.22,5,,Calgary
12/06/2023,CUST1110,Headphones,655.5,1,SAVE20,Vancouver
02/11/2023,CUST1111,Keyboard,296.62,1,SAVE20,Toronto
03/19/2023,CUST1112,Headphones,1315.04,4,,Calgary
